detector,filter,sample_size,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1
animal_count_4,multi_including_buffalo,18,0,14,2,2,0.0,0.0,NaN
animal_count_4,multi_including_elephant,7,0,7,0,0,NaN,NaN,NaN
animal_count_4,multi_including_ostrich,1,0,0,0,1,NaN,0.0,NaN
animal_count_4,multi_including_warthog,25,0,23,1,1,0.0,0.0,NaN
animal_count_4,multi_including_wildebeest,323,3,275,22,23,0.12,0.11538461538461539,0.11764705882352941
animal_count_4,multi_including_none_of_the_five,124,1,105,3,15,0.25,0.0625,0.1
animal_count_5,entire_dataset,50270,36,47859,1889,486,0.0187012987012987,0.06896551724137931,0.029423784225582346
animal_count_5,daytime,368,0,347,13,8,0.0,0.0,NaN
animal_count_5,nighttime,183,0,173,9,1,0.0,0.0,NaN
animal_count_5,blank,36734,0,35660,1074,0,0.0,NaN,NaN
animal_count_5,non_blank,13536,36,12199,815,486,0.04230317273795535,0.06896551724137931,0.052439912600145674
animal_count_5,one_animal,6172,0,5826,346,0,0.0,NaN,NaN
animal_count_5,simple,4583,36,3769,292,486,0.10975609756097561,0.06896551724137931,0.08470588235294117
animal_count_5,complex,2781,0,2604,177,0,0.0,NaN,NaN
animal_count_5,single_species,13045,35,11767,782,461,0.042839657282741736,0.07056451612903226,0.053313023610053314
animal_count_5,only_buffalo,1169,4,1064,69,32,0.0547945205479452,0.1111111111111111,0.07339449541284404
animal_count_5,only_elephant,1190,5,1081,51,53,0.08928571428571429,0.08620689655172414,0.08771929824561403
animal_count_5,only_ostrich,356,2,332,18,4,0.1,0.3333333333333333,0.15384615384615383
animal_count_5,only_warthog,1090,0,1048,39,3,0.0,0.0,NaN
animal_count_5,only_wildebeest,3057,11,2666,219,161,0.04782608695652174,0.06395348837209303,0.05472636815920398
animal_count_5,only_other,6183,13,5576,386,208,0.03258145363408521,0.058823529411764705,0.041935483870967745
animal_count_5,multi_species,491,1,432,33,25,0.029411764705882353,0.038461538461538464,0.03333333333333333
animal_count_5,multi_including_buffalo,18,0,17,0,1,NaN,0.0,NaN
animal_count_5,multi_including_elephant,7,0,7,0,0,NaN,NaN,NaN
animal_count_5,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_5,multi_including_warthog,25,0,25,0,0,NaN,NaN,NaN
animal_count_5,multi_including_wildebeest,323,1,282,24,16,0.04,0.058823529411764705,0.04761904761904763
animal_count_5,multi_including_none_of_the_five,124,0,107,9,8,0.0,0.0,NaN
animal_count_6,entire_dataset,50270,22,48524,1346,378,0.01608187134502924,0.055,0.024886877828054293
animal_count_6,daytime,368,0,353,13,2,0.0,0.0,NaN
animal_count_6,nighttime,183,0,174,9,0,0.0,NaN,NaN
animal_count_6,blank,36734,0,36010,724,0,0.0,NaN,NaN
animal_count_6,non_blank,13536,22,12514,622,378,0.034161490683229816,0.055,0.0421455938697318
animal_count_6,one_animal,6172,0,5904,268,0,0.0,NaN,NaN
animal_count_6,simple,4583,0,4347,236,0,0.0,NaN,NaN
animal_count_6,complex,2781,22,2263,118,378,0.15714285714285714,0.055,0.08148148148148149
animal_count_6,single_species,13045,19,12093,590,343,0.031198686371100164,0.052486187845303865,0.039134912461380025
animal_count_6,only_buffalo,1169,1,1078,54,36,0.01818181818181818,0.02702702702702703,0.021739130434782608
animal_count_6,only_elephant,1190,1,1090,63,36,0.015625,0.02702702702702703,0.019801980198019802
animal_count_6,only_ostrich,356,0,344,9,3,0.0,0.0,NaN
animal_count_6,only_warthog,1090,1,1041,42,6,0.023255813953488372,0.14285714285714285,0.04
animal_count_6,only_wildebeest,3057,11,2764,149,133,0.06875,0.0763888888888889,0.07236842105263158
animal_count_6,only_other,6183,5,5776,273,129,0.017985611510791366,0.03731343283582089,0.024271844660194174
animal_count_6,multi_species,491,3,421,32,35,0.08571428571428572,0.07894736842105263,0.0821917808219178
animal_count_6,multi_including_buffalo,18,0,15,0,3,NaN,0.0,NaN
